,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
0,2008-01-02,98.3,09:30:00,10:10:00,97.77,98.15,97.93,True,98.3,98.05,98.15,98.18,True,Long,11:00:00,Short,09:35:00,Red,Short,98.26,0.8400000000000318,09:50:00,97.77,1.1200000000000045,10:10:00,09:45:00
1,2008-01-03,99.65,09:55:00,10:25:00,98.88,99.34,99.16,False,99.54,99.27,99.34,99.33,False,Short,10:30:00,Short,09:35:00,Red,Long,99.65,1.40740740740739,09:55:00,98.88,1.4444444444443918,10:25:00,09:45:00
2,2008-01-04,98.53,09:30:00,10:00:00,97.31,98.33,97.84,True,98.53,98.25,98.33,98.35,True,Short,11:10:00,Short,09:40:00,Red,Short,98.23,-0.07142857142855692,09:45:00,97.31,3.3571428571428354,10:00:00,
3,2008-01-07,97.5,09:30:00,10:05:00,96.33,97.49,96.57,True,97.5,97.11,97.49,97.17,True,Short,10:40:00,Short,09:40:00,Red,Long,97.08,-0.07692307692307973,09:45:00,96.33,2.0,10:05:00,
4,2008-01-08,97.2,09:30:00,10:25:00,96.46,97.01,96.53,False,97.2,96.99,97.01,97.12,True,Short,10:30:00,Short,09:40:00,Red,Short,97.18,0.9047619047619273,10:20:00,96.46,2.5238095238094336,10:25:00,09:55:00
5,2008-01-09,96.15,09:50:00,10:25:00,95.6,95.93,95.64,False,95.97,95.67,95.93,95.75,False,Long,10:50:00,Long,09:45:00,Red,Long,95.6,1.2333333333333603,10:25:00,96.15,0.6000000000000284,09:50:00,09:55:00
6,2008-01-10,94.2,10:15:00,10:00:00,93.56,93.78,93.88,False,93.97,93.7,93.78,93.82,False,Short,11:00:00,Short,09:40:00,Green,Short,94.2,1.8518518518518792,10:15:00,93.56,0.5185185185185283,10:00:00,09:45:00
7,2008-01-11,93.33,10:15:00,09:35:00,92.58,93.11,92.95,False,93.16,92.91,93.11,92.95,False,Long,10:35:00,Short,09:35:00,Red,Long,93.33,1.6800000000000068,10:15:00,92.66,1.0,09:45:00,10:10:00
8,2008-01-14,94.03,09:30:00,10:20:00,93.04,93.98,93.38,True,94.03,93.65,93.98,93.82,True,Long,11:25:00,Short,10:10:00,Red,Long,93.62,-0.07894736842105657,10:15:00,93.04,1.6052631578947545,10:20:00,
9,2008-01-15,92.42,09:30:00,10:05:00,91.42,92.23,91.78,True,92.42,92.06,92.23,92.07,True,Short,12:05:00,Short,09:35:00,Red,Long,92.18,0.33333333333334647,09:50:00,91.42,1.7777777777777821,10:05:00,
10,2008-01-16,91.36,09:30:00,10:25:00,90.59,91.36,90.7,True,91.36,91.1,91.36,91.28,True,Short,10:30:00,Short,09:55:00,Red,Long,91.24,0.53846153846153,10:05:00,90.59,1.961538461538388,10:25:00,
11,2008-01-17,92.16,09:50:00,10:20:00,90.48,91.74,90.93,True,91.94,91.65,91.74,91.89,False,Short,11:15:00,Long,09:40:00,Red,Short,90.48,5.034482758620806,10:20:00,92.16,0.7586206896551894,09:50:00,10:00:00
12,2008-01-18,91.15,10:20:00,09:35:00,90.41,90.66,90.8,True,90.73,90.49,90.66,90.59,True,Short,11:10:00,Long,09:35:00,Green,Long,90.66,0.2916666666666864,10:00:00,91.15,1.7499999999999407,10:20:00,10:00:00
13,2008-01-21,89.06,10:15:00,09:55:00,88.83,88.95,89.04,False,88.99,88.95,88.95,88.99,False,Long,10:35:00,Short,09:40:00,Green,Short,89.06,2.750000000000533,10:15:00,88.83,3.0000000000007105,09:55:00,09:50:00
14,2008-01-22,89.21,10:25:00,09:30:00,87.92,88.27,89.0,True,88.27,87.92,88.27,87.99,True,Long,10:35:00,Long,09:50:00,Green,Long,88.04,0.6571428571428386,10:05:00,89.21,2.685714285714323,10:25:00,09:55:00
15,2008-01-23,88.4,10:20:00,09:30:00,87.46,87.61,88.21,True,87.69,87.46,87.61,87.66,True,Short,11:35:00,Long,09:35:00,Green,Short,87.72,-0.13043478260869834,10:10:00,88.4,3.0869565217391117,10:20:00,
16,2008-01-24,88.07,09:50:00,10:25:00,87.45,87.88,87.67,False,87.97,87.75,87.88,87.8,True,Short,10:55:00,Short,10:25:00,Red,Long,,,,,,,
17,2008-01-25,91.38,10:10:00,09:55:00,90.75,90.82,90.98,True,91.23,90.77,90.82,91.05,True,Short,10:50:00,Long,10:10:00,Green,Short,90.95,0.608695652173905,10:25:00,91.28,0.10869565217390498,10:15:00,
18,2008-01-28,89.64,09:30:00,10:05:00,88.78,89.56,89.21,True,89.64,89.22,89.56,89.34,True,Long,11:00:00,Short,10:00:00,Red,Long,89.25,0.07142857142857384,10:25:00,88.78,1.047619047619038,10:05:00,
19,2008-01-29,90.98,10:20:00,09:35:00,90.33,90.64,90.74,True,90.85,90.59,90.64,90.73,True,Long,10:55:00,Short,09:35:00,Green,Short,90.98,1.5000000000000546,10:20:00,90.38,0.8076923076923666,09:55:00,09:45:00
20,2008-01-30,92.39,09:55:00,10:20:00,92.08,92.17,92.1,False,92.27,92.16,92.17,92.17,False,Short,10:30:00,Long,09:40:00,Red,Neutral,92.08,1.7272727272727155,10:20:00,92.39,1.090909090909138,09:55:00,10:15:00
21,2008-01-31,90.51,09:30:00,09:50:00,89.58,90.51,90.1,True,90.51,89.95,90.51,90.06,True,Long,11:50:00,Short,09:45:00,Red,Long,90.16,0.3749999999999873,10:10:00,89.58,0.6607142857142911,09:50:00,
22,2008-02-01,91.08,09:30:00,10:25:00,90.17,90.88,90.2,True,91.08,90.82,90.88,90.99,True,Short,10:35:00,Short,09:35:00,Red,Short,90.94,0.46153846153846995,09:50:00,90.17,2.499999999999918,10:25:00,09:50:00
23,2008-02-04,89.76,10:20:00,10:10:00,88.66,89.24,89.59,True,89.28,88.97,89.24,89.0,False,Long,10:55:00,Short,10:00:00,Green,Long,89.76,2.548387096774195,10:20:00,88.66,1.0,10:10:00,10:15:00
24,2008-02-05,88.62,09:55:00,09:35:00,88.09,88.36,88.49,False,88.5,88.22,88.36,88.27,False,Short,11:00:00,Short,09:35:00,Green,Long,88.62,1.428571428571443,09:55:00,88.09,0.46428571428569615,09:40:00,09:45:00
25,2008-02-06,88.84,09:30:00,10:25:00,87.92,88.82,88.0,True,88.84,88.71,88.82,88.72,True,Short,10:30:00,Short,09:35:00,Red,Long,88.75,0.3076923076923329,09:40:00,87.92,6.076923076922564,10:25:00,
26,2008-02-07,87.53,10:20:00,10:00:00,86.43,86.5,87.23,True,86.59,86.46,86.5,86.57,True,Long,11:40:00,Long,09:35:00,Green,Short,86.43,1.2307692307691132,10:00:00,87.53,7.230769230768676,10:20:00,10:00:00
27,2008-02-08,89.59,10:05:00,09:45:00,89.12,89.16,89.37,True,89.32,89.16,89.16,89.2,True,Long,11:00:00,Long,09:55:00,Green,Short,89.29,0.18749999999992228,10:20:00,89.59,1.6875000000001,10:05:00,
28,2008-02-11,91.8,09:30:00,09:55:00,90.92,91.49,91.53,True,91.8,91.47,91.49,91.69,True,Long,10:50:00,Short,09:40:00,Green,Short,91.7,0.6969696969697127,10:25:00,90.92,1.6666666666666667,09:55:00,10:25:00
29,2008-02-12,93.66,10:25:00,10:00:00,92.82,92.97,93.42,False,93.13,92.92,92.97,93.03,False,Long,10:35:00,Long,09:40:00,Green,Short,92.82,1.476190476190531,10:00:00,93.66,2.5238095238096045,10:25:00,09:50:00
