,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
0,2008-01-28,932.9,11:20:00,09:40:00,924.4,926.1,931.8,True,926.4,924.4,926.1,925.2,True,Long,11:30:00,Long,09:50:00,Green,Long,925.7,0.3499999999999659,10:40:00,932.9,3.25,11:20:00,10:35:00
1,2008-01-29,933.4,11:05:00,09:40:00,925.0,930.3,931.2,True,930.3,925.0,930.3,926.7,True,,,Long,10:25:00,Green,Long,928.5,0.3396226415094283,10:35:00,933.4,0.5849056603773678,11:05:00,10:30:00
2,2008-01-30,927.5,11:00:00,09:45:00,921.1,923.5,926.4,True,924.5,921.6,923.5,922.1,True,Long,14:10:00,Long,10:05:00,Green,Long,924.0,0.17241379310344962,10:30:00,927.5,1.0344827586206977,11:00:00,
3,2008-01-31,930.6,11:25:00,09:30:00,924.1,925.0,930.2,True,926.5,924.1,925.0,926.1,True,Long,11:45:00,Long,09:50:00,Green,Short,924.7,0.7499999999999881,10:55:00,930.6,1.708333333333359,11:25:00,10:55:00
4,2008-02-01,934.8,09:50:00,10:15:00,908.5,933.7,911.7,True,934.1,928.7,933.7,932.6,False,,,Long,09:45:00,Red,Long,908.5,4.740740740740765,10:15:00,934.8,0.12962962962961755,09:50:00,09:50:00
5,2008-02-04,903.7,10:25:00,09:30:00,896.0,900.4,901.6,True,900.4,896.0,900.4,899.7,True,Long,12:35:00,Long,09:50:00,Green,Long,897.9,0.5681818181818211,10:05:00,903.7,0.7500000000000194,10:25:00,09:55:00
6,2008-02-05,898.0,11:25:00,09:45:00,888.4,894.4,894.9,True,895.0,891.2,894.4,891.4,False,Long,11:55:00,Short,09:45:00,Green,Long,898.0,1.7894736842105357,11:25:00,890.4,0.21052631578949416,09:50:00,10:25:00
7,2008-02-06,911.5,10:15:00,09:55:00,904.2,905.3,908.3,True,908.6,904.5,905.3,904.6,True,Short,14:15:00,Long,10:10:00,Green,Long,905.5,0.7560975609756111,10:30:00,911.5,0.7073170731707222,10:15:00,
8,2008-02-07,913.5,10:20:00,10:00:00,903.0,904.4,909.8,True,905.9,904.1,904.4,905.3,False,Long,12:45:00,Short,09:50:00,Green,Short,913.5,5.222222222222341,10:20:00,903.0,0.6111111111111391,10:00:00,10:00:00
9,2008-02-08,924.5,11:10:00,09:30:00,914.9,914.9,922.6,True,917.2,914.9,914.9,916.2,True,Long,15:55:00,Long,09:50:00,Green,Short,918.5,-0.5652173913043113,09:55:00,924.5,3.173913043478147,11:10:00,
10,2008-02-11,929.6,11:25:00,10:50:00,919.6,925.0,928.6,True,927.1,924.3,925.0,926.0,False,,,Short,09:55:00,Green,Short,929.6,1.892857142857121,11:25:00,919.6,1.6785714285713633,10:50:00,11:05:00
11,2008-02-12,924.5,09:35:00,11:20:00,916.5,923.2,917.4,True,924.5,922.7,923.2,922.7,True,Short,11:45:00,Short,09:45:00,Red,Long,923.9,0.6666666666666456,10:35:00,916.5,3.4444444444445566,11:20:00,09:50:00
12,2008-02-13,912.5,11:25:00,10:10:00,901.3,903.9,910.6,True,905.0,902.3,903.9,903.7,False,Long,12:10:00,Short,10:35:00,Green,Long,912.5,3.777777777777731,11:25:00,901.5,0.29629629629627446,10:40:00,10:50:00
13,2008-02-14,915.8,11:10:00,09:30:00,907.6,908.2,912.6,True,910.6,907.6,908.2,909.3,True,,,Long,10:05:00,Green,Short,911.2,-0.2000000000000076,10:10:00,915.8,1.7333333333333105,11:10:00,
14,2008-02-15,917.8,09:30:00,11:20:00,908.2,917.2,909.2,True,917.8,914.7,917.2,915.7,True,Short,11:30:00,Short,10:15:00,Red,Long,914.3,-0.12903225806454927,10:40:00,908.2,2.0967741935484487,11:20:00,
15,2008-02-18,907.4,09:50:00,09:30:00,905.8,906.5,906.7,True,906.6,905.8,906.5,906.6,True,Long,12:10:00,Long,09:45:00,Green,Short,905.8,1.0,10:10:00,907.4,0.9999999999998579,09:50:00,10:00:00
16,2008-02-19,933.3,11:00:00,10:35:00,924.6,926.9,931.4,True,927.4,925.9,926.9,926.5,False,,,Long,09:50:00,Green,Long,924.6,1.8666666666666363,10:35:00,933.3,3.933333333333318,11:00:00,09:55:00
17,2008-02-20,928.5,11:15:00,10:10:00,921.9,922.8,927.1,True,923.9,922.3,922.8,923.5,True,Long,12:00:00,Long,09:50:00,Green,Short,921.9,1.2499999999999822,10:10:00,928.5,2.8749999999999734,11:15:00,10:05:00
18,2008-02-21,955.5,11:10:00,11:05:00,941.5,948.5,952.5,True,950.5,946.6,948.5,947.9,False,Long,11:45:00,Short,10:25:00,Green,Long,955.5,2.2820512820512895,11:10:00,941.5,1.3076923076923213,11:05:00,10:35:00
19,2008-02-22,950.8,09:30:00,10:30:00,938.1,949.6,947.5,True,950.8,948.4,949.6,948.4,True,,,Short,09:50:00,Red,Long,948.1,-0.12499999999998224,11:20:00,938.1,4.291666666666688,10:30:00,
20,2008-02-25,951.7,09:30:00,11:00:00,935.5,951.6,938.4,True,951.7,948.9,951.6,949.9,True,,,Short,09:45:00,Red,Long,944.4,-1.607142857142818,09:50:00,935.5,4.785714285714161,11:00:00,
21,2008-02-26,947.0,11:00:00,09:45:00,936.5,939.1,944.0,True,939.2,936.6,939.1,937.1,True,Long,12:15:00,Long,10:00:00,Green,Long,939.0,0.07692307692309375,10:05:00,947.0,2.9999999999999565,11:00:00,10:05:00
22,2008-02-27,964.0,09:40:00,10:40:00,954.0,960.4,959.5,True,964.0,960.4,960.4,962.8,True,,,Short,10:10:00,Red,Short,963.0,0.722222222222224,11:20:00,954.0,1.7777777777777601,10:40:00,10:15:00
23,2008-02-28,970.0,11:20:00,09:50:00,959.2,963.0,968.7,True,963.5,959.7,963.0,961.9,True,Long,13:45:00,Long,10:30:00,Green,Long,963.6,-0.02631578947369051,10:35:00,970.0,1.710526315789494,11:20:00,
24,2008-02-29,975.7,10:00:00,10:40:00,966.2,972.2,974.7,True,973.1,971.2,972.2,972.2,False,Long,11:30:00,Long,09:45:00,Green,Neutral,966.2,3.6315789473684523,10:40:00,975.7,1.3684210526316072,10:00:00,09:50:00
25,2008-03-03,992.0,10:00:00,11:10:00,983.0,990.3,987.2,True,991.0,987.2,990.3,987.7,False,Short,13:20:00,Long,10:00:00,Red,Long,983.0,2.105263157894762,11:10:00,991.9,0.23684210526315475,10:05:00,10:05:00
26,2008-03-04,989.2,09:35:00,11:20:00,967.8,986.7,972.5,True,989.2,986.7,986.7,987.3,True,Short,11:40:00,Short,09:45:00,Red,Short,988.5,0.7199999999999818,10:20:00,967.8,7.560000000000036,11:20:00,10:05:00
27,2008-03-05,993.3,11:20:00,09:40:00,974.0,975.0,990.0,True,977.5,974.0,975.0,974.4,True,Long,12:30:00,Long,10:30:00,Green,Long,980.2,-0.7714285714285845,10:35:00,993.3,4.514285714285701,11:20:00,
28,2008-03-06,986.9,11:00:00,09:55:00,973.0,983.7,982.6,True,986.3,982.9,983.7,984.8,True,Short,12:10:00,Short,09:50:00,Red,Short,986.9,1.176470588235302,11:00:00,973.0,2.9117647058823657,09:55:00,10:35:00
29,2008-03-07,980.7,09:30:00,09:40:00,971.3,979.6,978.1,True,980.7,971.3,979.6,974.8,True,,,,,Red,Long,,,,,,,
30,2008-03-10,974.0,10:45:00,09:40:00,962.6,963.7,970.6,True,965.9,962.6,963.7,964.1,True,Long,12:30:00,Long,10:00:00,Green,Short,966.4,-0.1515151515151536,10:05:00,974.0,2.4545454545454954,10:45:00,
31,2008-03-11,980.5,09:40:00,10:25:00,966.0,979.8,976.2,True,980.5,975.2,979.8,975.8,True,,,Short,10:10:00,Red,Long,976.4,0.2264150943396117,11:20:00,966.0,1.735849056603797,10:25:00,
32,2008-03-12,983.8,10:10:00,10:45:00,976.5,979.7,978.1,True,979.9,977.1,979.7,977.9,False,,,Long,09:50:00,Red,Long,976.5,1.214285714285726,10:45:00,983.8,1.3928571428571574,10:10:00,10:30:00
33,2008-03-13,1001.5,10:40:00,11:25:00,994.5,999.1,995.2,True,1000.3,996.7,999.1,999.6,False,Short,12:20:00,Long,10:35:00,Red,Short,994.5,1.6111111111111391,11:25:00,1001.5,0.3333333333333544,10:40:00,10:40:00
34,2008-03-14,1009.0,10:45:00,09:30:00,994.0,994.2,1002.3,True,999.5,994.0,994.2,998.0,True,,,Long,09:55:00,Green,Short,1001.0,-0.2727272727272727,10:00:00,1009.0,1.7272727272727273,10:45:00,
35,2008-03-17,1016.2,11:20:00,10:15:00,1003.2,1006.9,1015.6,True,1011.2,1005.0,1006.9,1008.9,False,Short,13:25:00,Short,10:10:00,Green,Short,1016.2,1.80645161290322,11:20:00,1003.2,0.2903225806451518,10:15:00,10:15:00
36,2008-03-18,1008.5,09:50:00,11:25:00,1002.5,1007.0,1004.6,True,1007.8,1004.8,1007.0,1006.7,False,Short,12:55:00,Long,11:00:00,Red,Long,1002.5,1.7666666666666515,11:25:00,1008.0,0.06666666666668182,11:05:00,11:05:00
37,2008-03-19,971.1,09:30:00,11:25:00,950.0,969.6,952.8,True,971.1,960.1,969.6,960.3,True,Short,11:35:00,Short,09:45:00,Red,Long,966.7,0.6000000000000021,10:35:00,950.0,0.9181818181818202,11:25:00,
